id,amount,category,ts,tier,date,hour,day_of_week,amount_z
58,74.03,B,2024-01-03 10:00:00,medium,2024-01-03,10,Wednesday,-0.8554
59,129.05,B,2024-01-03 11:00:00,high,2024-01-03,11,Wednesday,0.9735
60,49.51,B,2024-01-03 12:00:00,low,2024-01-03,12,Wednesday,-1.6704
61,89.95,B,2024-01-03 13:00:00,medium,2024-01-03,13,Wednesday,-0.3262
62,104.88,A,2024-01-03 14:00:00,high,2024-01-03,14,Wednesday,0.1701
63,117.59,A,2024-01-03 15:00:00,high,2024-01-03,15,Wednesday,0.5926
65,123.8,C,2024-01-03 17:00:00,high,2024-01-03,17,Wednesday,0.799
67,86.13,A,2024-01-03 19:00:00,medium,2024-01-03,19,Wednesday,-0.4532
68,125.74,B,2024-01-03 20:00:00,high,2024-01-03,20,Wednesday,0.8635
69,94.26,B,2024-01-03 21:00:00,medium,2024-01-03,21,Wednesday,-0.1829
70,61.73,A,2024-01-03 22:00:00,medium,2024-01-03,22,Wednesday,-1.2642
71,66.0,A,2024-01-03 23:00:00,medium,2024-01-03,23,Wednesday,-1.1223
72,72.42,C,2024-01-04 00:00:00,medium,2024-01-04,0,Thursday,-0.9089
73,114.91,B,2024-01-04 01:00:00,high,2024-01-04,1,Thursday,0.5035
74,104.27,B,2024-01-04 02:00:00,high,2024-01-04,2,Thursday,0.1498
75,120.71,A,2024-01-04 03:00:00,high,2024-01-04,3,Thursday,0.6963
76,87.18,B,2024-01-04 04:00:00,medium,2024-01-04,4,Thursday,-0.4183
77,104.76,A,2024-01-04 05:00:00,high,2024-01-04,5,Thursday,0.1661
78,118.77,A,2024-01-04 06:00:00,high,2024-01-04,6,Thursday,0.6318
79,90.72,B,2024-01-04 07:00:00,medium,2024-01-04,7,Thursday,-0.3006
80,113.7,A,2024-01-04 08:00:00,high,2024-01-04,8,Thursday,0.4633
82,89.11,B,2024-01-04 10:00:00,medium,2024-01-04,10,Thursday,-0.3541
83,88.55,A,2024-01-04 11:00:00,medium,2024-01-04,11,Thursday,-0.3727
84,64.12,A,2024-01-04 12:00:00,medium,2024-01-04,12,Thursday,-1.1848
85,114.61,C,2024-01-04 13:00:00,high,2024-01-04,13,Thursday,0.4935
86,85.92,A,2024-01-04 14:00:00,medium,2024-01-04,14,Thursday,-0.4601
87,100.37,A,2024-01-04 15:00:00,high,2024-01-04,15,Thursday,0.0202
88,114.42,B,2024-01-04 16:00:00,high,2024-01-04,16,Thursday,0.4872
89,113.4,A,2024-01-04 17:00:00,high,2024-01-04,17,Thursday,0.4533
90,119.96,B,2024-01-04 18:00:00,high,2024-01-04,18,Thursday,0.6714
91,97.05,B,2024-01-04 19:00:00,medium,2024-01-04,19,Thursday,-0.0902
92,87.3,A,2024-01-04 20:00:00,medium,2024-01-04,20,Thursday,-0.4143
93,97.61,C,2024-01-04 21:00:00,medium,2024-01-04,21,Thursday,-0.0716
94,49.38,B,2024-01-04 22:00:00,low,2024-01-04,22,Thursday,-1.6748
95,56.59,B,2024-01-04 23:00:00,medium,2024-01-04,23,Thursday,-1.4351
96,60.32,A,2024-01-05 00:00:00,medium,2024-01-05,0,Friday,-1.3111
97,70.08,B,2024-01-05 01:00:00,medium,2024-01-05,1,Friday,-0.9867
98,111.99,A,2024-01-05 02:00:00,high,2024-01-05,2,Friday,0.4065
99,72.84,B,2024-01-05 03:00:00,medium,2024-01-05,3,Friday,-0.8949
100,88.66,A,2024-01-05 04:00:00,medium,2024-01-05,4,Friday,-0.3691
102,89.31,A,2024-01-05 06:00:00,medium,2024-01-05,6,Friday,-0.3475
105,93.84,B,2024-01-05 09:00:00,medium,2024-01-05,9,Friday,-0.1969
106,71.5,A,2024-01-05 10:00:00,medium,2024-01-05,10,Friday,-0.9395
107,89.83,A,2024-01-05 11:00:00,medium,2024-01-05,11,Friday,-0.3302
109,48.18,B,2024-01-05 13:00:00,low,2024-01-05,13,Friday,-1.7147
110,113.03,B,2024-01-05 14:00:00,high,2024-01-05,14,Friday,0.441
111,107.13,A,2024-01-05 15:00:00,high,2024-01-05,15,Friday,0.2449
112,82.18,C,2024-01-05 16:00:00,medium,2024-01-05,16,Friday,-0.5845
113,56.62,A,2024-01-05 17:00:00,medium,2024-01-05,17,Friday,-1.4341
114,102.16,A,2024-01-05 18:00:00,high,2024-01-05,18,Friday,0.0797
115,84.12,A,2024-01-05 19:00:00,medium,2024-01-05,19,Friday,-0.52
116,106.98,B,2024-01-05 20:00:00,high,2024-01-05,20,Friday,0.2399
117,100.66,C,2024-01-05 21:00:00,high,2024-01-05,21,Friday,0.0298
118,148.05,C,2024-01-05 22:00:00,high,2024-01-05,22,Friday,1.6051
119,92.82,A,2024-01-05 23:00:00,medium,2024-01-05,23,Friday,-0.2308
120,69.3,A,2024-01-06 00:00:00,medium,2024-01-06,0,Saturday,-1.0126
121,105.38,C,2024-01-06 01:00:00,high,2024-01-06,1,Saturday,0.1867
122,106.6,B,2024-01-06 02:00:00,high,2024-01-06,2,Saturday,0.2273
123,140.78,A,2024-01-06 03:00:00,high,2024-01-06,3,Saturday,1.3635
124,125.05,A,2024-01-06 04:00:00,high,2024-01-06,4,Saturday,0.8406
125,110.71,B,2024-01-06 05:00:00,high,2024-01-06,5,Saturday,0.3639
127,64.34,B,2024-01-06 07:00:00,medium,2024-01-06,7,Saturday,-1.1775
128,80.81,A,2024-01-06 08:00:00,medium,2024-01-06,8,Saturday,-0.63
129,72.2,C,2024-01-06 09:00:00,medium,2024-01-06,9,Saturday,-0.9162
130,88.31,A,2024-01-06 10:00:00,medium,2024-01-06,10,Saturday,-0.3807
131,58.7,C,2024-01-06 11:00:00,medium,2024-01-06,11,Saturday,-1.365
132,119.05,A,2024-01-06 12:00:00,high,2024-01-06,12,Saturday,0.6411
133,93.33,A,2024-01-06 13:00:00,medium,2024-01-06,13,Saturday,-0.2138
134,55.88,B,2024-01-06 14:00:00,medium,2024-01-06,14,Saturday,-1.4587
135,69.53,A,2024-01-06 15:00:00,medium,2024-01-06,15,Saturday,-1.005
136,109.41,A,2024-01-06 16:00:00,high,2024-01-06,16,Saturday,0.3207
137,125.14,B,2024-01-06 17:00:00,high,2024-01-06,17,Saturday,0.8436
138,159.9,C,2024-01-06 18:00:00,premium,2024-01-06,18,Saturday,1.999
139,187.42,C,2024-01-06 19:00:00,premium,2024-01-06,19,Saturday,2.9138
140,112.43,A,2024-01-06 20:00:00,high,2024-01-06,20,Saturday,0.4211
141,70.31,A,2024-01-06 21:00:00,medium,2024-01-06,21,Saturday,-0.979
142,36.04,B,2024-01-06 22:00:00,low,2024-01-06,22,Saturday,-2.1182
143,108.03,B,2024-01-06 23:00:00,high,2024-01-06,23,Saturday,0.2748
144,75.61,A,2024-01-07 00:00:00,medium,2024-01-07,0,Sunday,-0.8029
145,87.54,C,2024-01-07 01:00:00,medium,2024-01-07,1,Sunday,-0.4063
147,95.78,A,2024-01-07 03:00:00,medium,2024-01-07,3,Sunday,-0.1324
148,131.98,C,2024-01-07 04:00:00,high,2024-01-07,4,Sunday,1.0709
149,104.71,B,2024-01-07 05:00:00,high,2024-01-07,5,Sunday,0.1645
150,95.24,A,2024-01-07 06:00:00,medium,2024-01-07,6,Sunday,-0.1503
151,68.93,B,2024-01-07 07:00:00,medium,2024-01-07,7,Sunday,-1.0249
152,49.76,A,2024-01-07 08:00:00,low,2024-01-07,8,Sunday,-1.6621
153,85.41,A,2024-01-07 09:00:00,medium,2024-01-07,9,Sunday,-0.4771
155,153.04,B,2024-01-07 11:00:00,premium,2024-01-07,11,Sunday,1.771
156,103.91,A,2024-01-07 12:00:00,high,2024-01-07,12,Sunday,0.1379
157,129.48,B,2024-01-07 13:00:00,high,2024-01-07,13,Sunday,0.9878
159,64.45,B,2024-01-07 15:00:00,medium,2024-01-07,15,Sunday,-1.1738
161,78.24,C,2024-01-07 17:00:00,medium,2024-01-07,17,Sunday,-0.7154
162,163.85,A,2024-01-07 18:00:00,premium,2024-01-07,18,Sunday,2.1303
163,75.36,B,2024-01-07 19:00:00,medium,2024-01-07,19,Sunday,-0.8112
164,125.15,B,2024-01-07 20:00:00,high,2024-01-07,20,Sunday,0.8439
165,72.91,C,2024-01-07 21:00:00,medium,2024-01-07,21,Sunday,-0.8926
166,127.95,A,2024-01-07 22:00:00,high,2024-01-07,22,Sunday,0.937
167,111.55,A,2024-01-07 23:00:00,high,2024-01-07,23,Sunday,0.3918
168,95.3,A,2024-01-08 00:00:00,medium,2024-01-08,0,Monday,-0.1483
169,98.78,B,2024-01-08 01:00:00,medium,2024-01-08,1,Monday,-0.0327
170,80.36,C,2024-01-08 02:00:00,medium,2024-01-08,2,Monday,-0.645
171,113.38,C,2024-01-08 03:00:00,high,2024-01-08,3,Monday,0.4527
172,86.35,B,2024-01-08 04:00:00,medium,2024-01-08,4,Monday,-0.4458
173,63.23,A,2024-01-08 05:00:00,medium,2024-01-08,5,Monday,-1.2144
174,61.66,A,2024-01-08 06:00:00,medium,2024-01-08,6,Monday,-1.2666
175,105.18,C,2024-01-08 07:00:00,high,2024-01-08,7,Monday,0.1801
176,147.37,B,2024-01-08 08:00:00,high,2024-01-08,8,Monday,1.5825
177,104.8,C,2024-01-08 09:00:00,high,2024-01-08,9,Monday,0.1675
178,96.44,A,2024-01-08 10:00:00,medium,2024-01-08,10,Monday,-0.1104
179,108.57,B,2024-01-08 11:00:00,high,2024-01-08,11,Monday,0.2928
181,106.58,A,2024-01-08 13:00:00,high,2024-01-08,13,Monday,0.2266
182,87.67,A,2024-01-08 14:00:00,medium,2024-01-08,14,Monday,-0.402
183,133.19,B,2024-01-08 15:00:00,high,2024-01-08,15,Monday,1.1112
184,112.86,B,2024-01-08 16:00:00,high,2024-01-08,16,Monday,0.4354
187,63.27,C,2024-01-08 19:00:00,medium,2024-01-08,19,Monday,-1.213
188,58.96,A,2024-01-08 20:00:00,medium,2024-01-08,20,Monday,-1.3563
189,149.53,B,2024-01-08 21:00:00,high,2024-01-08,21,Monday,1.6543
190,151.71,C,2024-01-08 22:00:00,premium,2024-01-08,22,Monday,1.7268
191,94.61,B,2024-01-08 23:00:00,medium,2024-01-08,23,Monday,-0.1713
193,143.84,B,2024-01-09 01:00:00,high,2024-01-09,1,Tuesday,1.4652
194,66.79,A,2024-01-09 02:00:00,medium,2024-01-09,2,Tuesday,-1.096
195,73.16,B,2024-01-09 03:00:00,medium,2024-01-09,3,Tuesday,-0.8843
196,119.3,B,2024-01-09 04:00:00,high,2024-01-09,4,Tuesday,0.6494
197,88.16,A,2024-01-09 05:00:00,medium,2024-01-09,5,Tuesday,-0.3857
198,99.85,A,2024-01-09 06:00:00,medium,2024-01-09,6,Tuesday,0.0029
199,95.1,C,2024-01-09 07:00:00,medium,2024-01-09,7,Tuesday,-0.155
200,110.13,A,2024-01-09 08:00:00,high,2024-01-09,8,Tuesday,0.3446
201,142.22,A,2024-01-09 09:00:00,high,2024-01-09,9,Tuesday,1.4113
202,102.72,B,2024-01-09 10:00:00,high,2024-01-09,10,Tuesday,0.0983
203,119.32,C,2024-01-09 11:00:00,high,2024-01-09,11,Tuesday,0.6501
204,38.49,B,2024-01-09 12:00:00,low,2024-01-09,12,Tuesday,-2.0368
207,63.44,B,2024-01-09 15:00:00,medium,2024-01-09,15,Tuesday,-1.2074
208,73.66,A,2024-01-09 16:00:00,medium,2024-01-09,16,Tuesday,-0.8677
209,89.98,C,2024-01-09 17:00:00,medium,2024-01-09,17,Tuesday,-0.3252
210,127.48,A,2024-01-09 18:00:00,high,2024-01-09,18,Tuesday,0.9214
211,60.21,C,2024-01-09 19:00:00,medium,2024-01-09,19,Tuesday,-1.3148
212,100.92,B,2024-01-09 20:00:00,high,2024-01-09,20,Tuesday,0.0385
213,85.47,A,2024-01-09 21:00:00,medium,2024-01-09,21,Tuesday,-0.4751
214,90.17,B,2024-01-09 22:00:00,medium,2024-01-09,22,Tuesday,-0.3189
215,130.08,B,2024-01-09 23:00:00,high,2024-01-09,23,Tuesday,1.0078
217,140.12,A,2024-01-10 01:00:00,high,2024-01-10,1,Wednesday,1.3415
219,79.12,A,2024-01-10 03:00:00,medium,2024-01-10,3,Wednesday,-0.6862
220,93.28,C,2024-01-10 04:00:00,medium,2024-01-10,4,Wednesday,-0.2155
222,105.3,A,2024-01-10 06:00:00,high,2024-01-10,6,Wednesday,0.1841
223,67.47,A,2024-01-10 07:00:00,medium,2024-01-10,7,Wednesday,-1.0734
224,102.71,C,2024-01-10 08:00:00,high,2024-01-10,8,Wednesday,0.098
225,106.85,C,2024-01-10 09:00:00,high,2024-01-10,9,Wednesday,0.2356
226,175.52,A,2024-01-10 10:00:00,premium,2024-01-10,10,Wednesday,2.5183
227,156.31,B,2024-01-10 11:00:00,premium,2024-01-10,11,Wednesday,1.8797
228,74.4,C,2024-01-10 12:00:00,medium,2024-01-10,12,Wednesday,-0.8431
229,91.38,A,2024-01-10 13:00:00,medium,2024-01-10,13,Wednesday,-0.2786
230,56.1,B,2024-01-10 14:00:00,medium,2024-01-10,14,Wednesday,-1.4514
231,82.28,B,2024-01-10 15:00:00,medium,2024-01-10,15,Wednesday,-0.5811
232,109.47,A,2024-01-10 16:00:00,high,2024-01-10,16,Wednesday,0.3227
233,136.18,C,2024-01-10 17:00:00,high,2024-01-10,17,Wednesday,1.2106
234,78.13,A,2024-01-10 18:00:00,medium,2024-01-10,18,Wednesday,-0.7191
236,35.58,B,2024-01-10 20:00:00,low,2024-01-10,20,Wednesday,-2.1335
237,95.12,B,2024-01-10 21:00:00,medium,2024-01-10,21,Wednesday,-0.1543
238,68.13,B,2024-01-10 22:00:00,medium,2024-01-10,22,Wednesday,-1.0515
239,84.12,B,2024-01-10 23:00:00,medium,2024-01-10,23,Wednesday,-0.52
240,73.69,C,2024-01-11 00:00:00,medium,2024-01-11,0,Thursday,-0.8667
241,97.17,B,2024-01-11 01:00:00,medium,2024-01-11,1,Thursday,-0.0862
242,47.27,C,2024-01-11 02:00:00,low,2024-01-11,2,Thursday,-1.7449
243,55.99,B,2024-01-11 03:00:00,medium,2024-01-11,3,Thursday,-1.455
244,163.88,A,2024-01-11 04:00:00,premium,2024-01-11,4,Thursday,2.1313
245,61.38,A,2024-01-11 05:00:00,medium,2024-01-11,5,Thursday,-1.2759
246,67.1,C,2024-01-11 06:00:00,medium,2024-01-11,6,Thursday,-1.0857
247,155.11,B,2024-01-11 07:00:00,premium,2024-01-11,7,Thursday,1.8398
248,187.15,B,2024-01-11 08:00:00,premium,2024-01-11,8,Thursday,2.9049
249,64.85,B,2024-01-11 09:00:00,medium,2024-01-11,9,Thursday,-1.1605
250,88.95,B,2024-01-11 10:00:00,medium,2024-01-11,10,Thursday,-0.3594
251,110.25,B,2024-01-11 11:00:00,high,2024-01-11,11,Thursday,0.3486
252,151.86,B,2024-01-11 12:00:00,premium,2024-01-11,12,Thursday,1.7318
254,92.64,A,2024-01-11 14:00:00,medium,2024-01-11,14,Thursday,-0.2368
255,123.32,B,2024-01-11 15:00:00,high,2024-01-11,15,Thursday,0.7831
256,113.04,A,2024-01-11 16:00:00,high,2024-01-11,16,Thursday,0.4414
257,88.72,C,2024-01-11 17:00:00,medium,2024-01-11,17,Thursday,-0.3671
258,95.99,B,2024-01-11 18:00:00,medium,2024-01-11,18,Thursday,-0.1254
259,58.75,B,2024-01-11 19:00:00,medium,2024-01-11,19,Thursday,-1.3633
260,92.85,C,2024-01-11 20:00:00,medium,2024-01-11,20,Thursday,-0.2298
261,92.01,B,2024-01-11 21:00:00,medium,2024-01-11,21,Thursday,-0.2577
262,106.97,A,2024-01-11 22:00:00,high,2024-01-11,22,Thursday,0.2396
263,83.34,B,2024-01-11 23:00:00,medium,2024-01-11,23,Thursday,-0.5459
264,114.15,A,2024-01-12 00:00:00,high,2024-01-12,0,Friday,0.4783
265,130.38,C,2024-01-12 01:00:00,high,2024-01-12,1,Friday,1.0178
266,104.66,C,2024-01-12 02:00:00,high,2024-01-12,2,Friday,0.1628
267,110.55,C,2024-01-12 03:00:00,high,2024-01-12,3,Friday,0.3586
268,101.59,C,2024-01-12 04:00:00,high,2024-01-12,4,Friday,0.0607
269,100.0,C,2024-01-12 05:00:00,medium,2024-01-12,5,Friday,0.0079
270,78.35,B,2024-01-12 06:00:00,medium,2024-01-12,6,Friday,-0.7118
271,109.49,A,2024-01-12 07:00:00,high,2024-01-12,7,Friday,0.3234
272,97.08,A,2024-01-12 08:00:00,medium,2024-01-12,8,Friday,-0.0892
275,111.58,C,2024-01-12 11:00:00,high,2024-01-12,11,Friday,0.3928
276,77.11,A,2024-01-12 12:00:00,medium,2024-01-12,12,Friday,-0.753
277,66.63,A,2024-01-12 13:00:00,medium,2024-01-12,13,Friday,-1.1014
278,135.73,C,2024-01-12 14:00:00,high,2024-01-12,14,Friday,1.1956
279,107.88,A,2024-01-12 15:00:00,high,2024-01-12,15,Friday,0.2698
280,114.4,B,2024-01-12 16:00:00,high,2024-01-12,16,Friday,0.4866
281,47.66,A,2024-01-12 17:00:00,low,2024-01-12,17,Friday,-1.7319
282,127.82,A,2024-01-12 18:00:00,high,2024-01-12,18,Friday,0.9327
283,113.63,B,2024-01-12 19:00:00,high,2024-01-12,19,Friday,0.461
285,85.85,C,2024-01-12 21:00:00,medium,2024-01-12,21,Friday,-0.4625
286,107.91,B,2024-01-12 22:00:00,high,2024-01-12,22,Friday,0.2708
287,101.57,B,2024-01-12 23:00:00,high,2024-01-12,23,Friday,0.0601
289,96.9,B,2024-01-13 01:00:00,medium,2024-01-13,1,Saturday,-0.0952
290,92.44,B,2024-01-13 02:00:00,medium,2024-01-13,2,Saturday,-0.2434
291,104.58,B,2024-01-13 03:00:00,high,2024-01-13,3,Saturday,0.1601
292,144.14,A,2024-01-13 04:00:00,high,2024-01-13,4,Saturday,1.4752
293,23.0,A,2024-01-13 05:00:00,low,2024-01-13,5,Saturday,-2.5517
294,92.89,C,2024-01-13 06:00:00,medium,2024-01-13,6,Saturday,-0.2284
295,105.3,B,2024-01-13 07:00:00,high,2024-01-13,7,Saturday,0.1841
296,108.88,A,2024-01-13 08:00:00,high,2024-01-13,8,Saturday,0.3031
297,88.84,A,2024-01-13 09:00:00,medium,2024-01-13,9,Saturday,-0.3631
299,109.84,B,2024-01-13 11:00:00,high,2024-01-13,11,Saturday,0.335
300,151.82,B,2024-01-13 12:00:00,premium,2024-01-13,12,Saturday,1.7304
301,53.98,A,2024-01-13 13:00:00,medium,2024-01-13,13,Saturday,-1.5219
303,90.14,C,2024-01-13 15:00:00,medium,2024-01-13,15,Saturday,-0.3199
304,98.16,B,2024-01-13 16:00:00,medium,2024-01-13,16,Saturday,-0.0533
305,68.41,A,2024-01-13 17:00:00,medium,2024-01-13,17,Saturday,-1.0422
306,89.97,B,2024-01-13 18:00:00,medium,2024-01-13,18,Saturday,-0.3255
307,139.0,C,2024-01-13 19:00:00,high,2024-01-13,19,Saturday,1.3043
308,117.48,C,2024-01-13 20:00:00,high,2024-01-13,20,Saturday,0.5889
310,135.32,B,2024-01-13 22:00:00,high,2024-01-13,22,Saturday,1.182
311,113.17,A,2024-01-13 23:00:00,high,2024-01-13,23,Saturday,0.4457
312,152.32,B,2024-01-14 00:00:00,premium,2024-01-14,0,Sunday,1.7471
313,113.17,C,2024-01-14 01:00:00,high,2024-01-14,1,Sunday,0.4457
314,124.84,A,2024-01-14 02:00:00,high,2024-01-14,2,Sunday,0.8336
315,91.1,A,2024-01-14 03:00:00,medium,2024-01-14,3,Sunday,-0.288
316,102.0,C,2024-01-14 04:00:00,high,2024-01-14,4,Sunday,0.0744
317,79.08,B,2024-01-14 05:00:00,medium,2024-01-14,5,Sunday,-0.6875
318,129.69,C,2024-01-14 06:00:00,high,2024-01-14,6,Sunday,0.9948
319,64.65,A,2024-01-14 07:00:00,medium,2024-01-14,7,Sunday,-1.1672
320,123.47,A,2024-01-14 08:00:00,high,2024-01-14,8,Sunday,0.7881
321,94.28,A,2024-01-14 09:00:00,medium,2024-01-14,9,Sunday,-0.1822
322,135.14,B,2024-01-14 10:00:00,high,2024-01-14,10,Sunday,1.176
323,122.53,C,2024-01-14 11:00:00,high,2024-01-14,11,Sunday,0.7568
324,154.62,B,2024-01-14 12:00:00,premium,2024-01-14,12,Sunday,1.8235
325,121.92,B,2024-01-14 13:00:00,high,2024-01-14,13,Sunday,0.7365
326,52.84,A,2024-01-14 14:00:00,medium,2024-01-14,14,Sunday,-1.5598
327,97.99,C,2024-01-14 15:00:00,medium,2024-01-14,15,Sunday,-0.0589
329,84.45,C,2024-01-14 17:00:00,medium,2024-01-14,17,Sunday,-0.509
330,145.34,A,2024-01-14 18:00:00,high,2024-01-14,18,Sunday,1.515
331,119.13,B,2024-01-14 19:00:00,high,2024-01-14,19,Sunday,0.6438
332,79.03,A,2024-01-14 20:00:00,medium,2024-01-14,20,Sunday,-0.6892
333,69.59,A,2024-01-14 21:00:00,medium,2024-01-14,21,Sunday,-1.003
334,100.98,A,2024-01-14 22:00:00,high,2024-01-14,22,Sunday,0.0405
335,63.5,A,2024-01-14 23:00:00,medium,2024-01-14,23,Sunday,-1.2054
336,79.87,A,2024-01-15 00:00:00,medium,2024-01-15,0,Monday,-0.6612
337,109.36,C,2024-01-15 01:00:00,high,2024-01-15,1,Monday,0.319
338,134.66,A,2024-01-15 02:00:00,high,2024-01-15,2,Monday,1.16
339,118.26,C,2024-01-15 03:00:00,high,2024-01-15,3,Monday,0.6149
341,109.13,B,2024-01-15 05:00:00,high,2024-01-15,5,Monday,0.3114
342,102.16,B,2024-01-15 06:00:00,high,2024-01-15,6,Monday,0.0797
343,112.42,C,2024-01-15 07:00:00,high,2024-01-15,7,Monday,0.4207
344,148.49,A,2024-01-15 08:00:00,high,2024-01-15,8,Monday,1.6198
345,38.1,B,2024-01-15 09:00:00,low,2024-01-15,9,Monday,-2.0497
346,82.27,B,2024-01-15 10:00:00,medium,2024-01-15,10,Monday,-0.5815
347,117.73,C,2024-01-15 11:00:00,high,2024-01-15,11,Monday,0.5973
348,52.55,C,2024-01-15 12:00:00,medium,2024-01-15,12,Monday,-1.5694
349,144.28,C,2024-01-15 13:00:00,high,2024-01-15,13,Monday,1.4798
350,111.05,B,2024-01-15 14:00:00,high,2024-01-15,14,Monday,0.3752
351,125.4,B,2024-01-15 15:00:00,high,2024-01-15,15,Monday,0.8522
352,82.87,C,2024-01-15 16:00:00,medium,2024-01-15,16,Monday,-0.5615
353,124.41,C,2024-01-15 17:00:00,high,2024-01-15,17,Monday,0.8193
354,132.05,B,2024-01-15 18:00:00,high,2024-01-15,18,Monday,1.0733
356,107.03,C,2024-01-15 20:00:00,high,2024-01-15,20,Monday,0.2416
357,108.11,B,2024-01-15 21:00:00,high,2024-01-15,21,Monday,0.2775
358,74.1,A,2024-01-15 22:00:00,medium,2024-01-15,22,Monday,-0.853
359,95.57,A,2024-01-15 23:00:00,medium,2024-01-15,23,Monday,-0.1394
360,95.42,C,2024-01-16 00:00:00,medium,2024-01-16,0,Tuesday,-0.1443
361,111.5,A,2024-01-16 01:00:00,high,2024-01-16,1,Tuesday,0.3902
362,129.99,B,2024-01-16 02:00:00,high,2024-01-16,2,Tuesday,1.0048
363,68.24,B,2024-01-16 03:00:00,medium,2024-01-16,3,Tuesday,-1.0478
364,96.25,C,2024-01-16 04:00:00,medium,2024-01-16,4,Tuesday,-0.1168
